GEN	1	2	3	4	5	6	7	8	9	10
67	0.6125	0.5975	0.54	0.5875	0.565	0.5175	0.5675	0.5825	0.58	0.57
68	0.5825	0.6125	0.5525	0.5575	0.56	0.555	0.5425	0.5975	0.5575	0.57
69	0.5675	0.5525	0.5425	0.5975	0.565	0.5475	0.545	0.5725	0.5875	0.53
70	0.5975	0.5525	0.5275	0.6425	0.5225	0.59	0.5125	0.54	0.56	0.53
71	0.5825	0.52	0.5475	0.6075	0.5125	0.61	0.5325	0.515	0.5675	0.545
72	0.59	0.5375	0.5475	0.5925	0.525	0.6375	0.565	0.585	0.5825	0.545
73	0.5525	0.5675	0.5575	0.61	0.5475	0.605	0.59	0.54	0.5825	0.54
74	0.5525	0.5625	0.5825	0.58	0.5725	0.5875	0.5525	0.5575	0.6125	0.535
75	0.555	0.565	0.58	0.54	0.5575	0.585	0.5275	0.545	0.6025	0.57
76	0.525	0.5775	0.565	0.5525	0.5375	0.5575	0.54	0.51	0.5825	0.565
77	0.575	0.5175	0.5825	0.525	0.5425	0.585	0.5525	0.5	0.5825	0.5925
78	0.505	0.5525	0.6275	0.54	0.5425	0.565	0.48	0.555	0.605	0.6375
79	0.51	0.54	0.6275	0.5475	0.5625	0.545	0.51	0.56	0.5875	0.635
80	0.5475	0.585	0.5675	0.5575	0.555	0.575	0.51	0.5325	0.58	0.6475
81	0.59	0.6	0.545	0.57	0.5425	0.6125	0.53	0.545	0.625	0.61
82	0.5675	0.5775	0.6075	0.615	0.555	0.585	0.585	0.565	0.5925	0.6
83	0.5275	0.56	0.6025	0.5925	0.565	0.55	0.56	0.53	0.6325	0.6025
84	0.545	0.56	0.5475	0.6125	0.5975	0.5025	0.53	0.535	0.575	0.605
85	0.5175	0.5375	0.5375	0.605	0.5975	0.51	0.5275	0.55	0.5925	0.56
86	0.4675	0.545	0.53	0.6125	0.58	0.5125	0.57	0.565	0.5875	0.5175
87	0.5425	0.5825	0.5075	0.56	0.5375	0.4775	0.5525	0.6025	0.5925	0.565
88	0.57	0.565	0.545	0.59	0.5175	0.505	0.53	0.5725	0.62	0.595
89	0.6	0.57	0.525	0.6	0.555	0.49	0.495	0.5325	0.5975	0.63
90	0.595	0.5325	0.57	0.5675	0.56	0.5325	0.5125	0.5325	0.5825	0.6175
91	0.605	0.56	0.545	0.525	0.5475	0.5475	0.4925	0.5475	0.6	0.5875
92	0.5725	0.5475	0.5425	0.5325	0.5675	0.5575	0.51	0.525	0.63	0.6025
93	0.585	0.54	0.525	0.52	0.605	0.555	0.505	0.5175	0.555	0.6675
94	0.5825	0.545	0.5175	0.5375	0.6275	0.5525	0.5125	0.52	0.5125	0.63
95	0.5825	0.545	0.5525	0.56	0.5725	0.5675	0.515	0.5525	0.5025	0.61
96	0.59	0.5975	0.595	0.55	0.575	0.5425	0.5575	0.5475	0.5325	0.5675
97	0.5475	0.585	0.57	0.54	0.5325	0.5625	0.525	0.535	0.54	0.53
98	0.5025	0.5525	0.5875	0.53	0.565	0.55	0.505	0.5475	0.57	0.5025
99	0.51	0.56	0.6025	0.52	0.58	0.57	0.53	0.5625	0.5775	0.47
100	0.57	0.5225	0.6	0.53	0.585	0.5375	0.5425	0.55	0.5775	0.51
